,mpg,displacement,horsepower,weight,acceleration,model year,c1,c2,c3,c4,c5,o1,o2,o3
19,26.0,97.0,46.0,1835.0,20.5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20,25.0,110.0,87.0,2672.0,17.5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,24.0,107.0,90.0,2430.0,14.5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,25.0,104.0,95.0,2375.0,17.5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,26.0,121.0,113.0,2234.0,12.5,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
24,21.0,199.0,90.0,2648.0,15.0,70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25,10.0,360.0,215.0,4615.0,14.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,10.0,307.0,200.0,4376.0,15.0,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,11.0,318.0,210.0,4382.0,13.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,9.0,304.0,193.0,4732.0,18.5,70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,27.0,97.0,88.0,2130.0,14.5,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
30,28.0,140.0,90.0,2264.0,15.5,71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
31,25.0,113.0,95.0,2228.0,14.0,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
32,19.0,232.0,100.0,2634.0,13.0,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33,16.0,225.0,105.0,3439.0,15.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34,17.0,250.0,100.0,3329.0,15.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35,19.0,250.0,88.0,3302.0,15.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,18.0,232.0,100.0,3288.0,15.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37,14.0,350.0,165.0,4209.0,12.0,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,14.0,400.0,175.0,4464.0,11.5,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,14.0,351.0,153.0,4154.0,13.5,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,14.0,318.0,150.0,4096.0,13.0,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,12.0,383.0,180.0,4955.0,11.5,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,13.0,400.0,170.0,4746.0,12.0,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,13.0,400.0,175.0,5140.0,12.0,71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,18.0,258.0,110.0,2962.0,13.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
45,22.0,140.0,72.0,2408.0,19.0,71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
46,19.0,250.0,100.0,3282.0,15.0,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47,18.0,250.0,88.0,3139.0,14.5,71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48,23.0,122.0,86.0,2220.0,14.0,71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
49,28.0,116.0,90.0,2123.0,14.0,71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50,30.0,79.0,70.0,2074.0,19.5,71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
51,31.0,71.0,65.0,1773.0,19.0,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
52,35.0,72.0,69.0,1613.0,18.0,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
53,27.0,97.0,60.0,1834.0,19.0,71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54,26.0,91.0,70.0,1955.0,20.5,71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
55,24.0,113.0,95.0,2278.0,15.5,72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,25.0,97.5,80.0,2126.0,17.0,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
57,23.0,97.0,54.0,2254.0,23.5,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
58,20.0,140.0,90.0,2408.0,19.5,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,21.0,122.0,86.0,2226.0,16.5,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
60,13.0,350.0,165.0,4274.0,12.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,14.0,400.0,175.0,4385.0,12.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,15.0,318.0,150.0,4135.0,13.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,14.0,351.0,153.0,4129.0,13.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,17.0,304.0,150.0,3672.0,11.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,11.0,429.0,208.0,4633.0,11.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,13.0,350.0,155.0,4502.0,13.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,12.0,350.0,160.0,4456.0,13.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,13.0,400.0,190.0,4422.0,12.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,19.0,70.0,97.0,2330.0,13.5,72,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
70,15.0,304.0,150.0,3892.0,12.5,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,13.0,307.0,130.0,4098.0,14.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,13.0,302.0,140.0,4294.0,16.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,14.0,318.0,150.0,4077.0,14.0,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,18.0,121.0,112.0,2933.0,14.5,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
75,22.0,121.0,76.0,2511.0,18.0,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
76,21.0,120.0,87.0,2979.0,19.5,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
77,26.0,96.0,69.0,2189.0,18.0,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
78,22.0,122.0,86.0,2395.0,16.0,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
79,28.0,97.0,92.0,2288.0,17.0,72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
80,23.0,120.0,97.0,2506.0,14.5,72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
81,28.0,98.0,80.0,2164.0,15.0,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
82,27.0,97.0,88.0,2100.0,16.5,72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83,13.0,350.0,175.0,4100.0,13.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,14.0,304.0,150.0,3672.0,11.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,13.0,350.0,145.0,3988.0,13.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,14.0,302.0,137.0,4042.0,14.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,15.0,318.0,150.0,3777.0,12.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,12.0,429.0,198.0,4952.0,11.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,13.0,400.0,150.0,4464.0,12.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,13.0,351.0,158.0,4363.0,13.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,14.0,318.0,150.0,4237.0,14.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,13.0,440.0,215.0,4735.0,11.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,12.0,455.0,225.0,4951.0,11.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,13.0,360.0,175.0,3821.0,11.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,18.0,225.0,105.0,3121.0,16.5,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
96,16.0,250.0,100.0,3278.0,18.0,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
97,18.0,232.0,100.0,2945.0,16.0,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
98,18.0,250.0,88.0,3021.0,16.5,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
99,23.0,198.0,95.0,2904.0,16.0,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
100,26.0,97.0,46.0,1950.0,21.0,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
101,11.0,400.0,150.0,4997.0,14.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,12.0,400.0,167.0,4906.0,12.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,13.0,360.0,170.0,4654.0,13.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,12.0,350.0,180.0,4499.0,12.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,18.0,232.0,100.0,2789.0,15.0,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
106,20.0,97.0,88.0,2279.0,19.0,73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
107,21.0,140.0,72.0,2401.0,19.5,73,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
108,22.0,108.0,94.0,2379.0,16.5,73,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
109,18.0,70.0,90.0,2124.0,13.5,73,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,19.0,122.0,85.0,2310.0,18.5,73,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
111,21.0,155.0,107.0,2472.0,14.0,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
112,26.0,98.0,90.0,2265.0,15.5,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
113,15.0,350.0,145.0,4082.0,13.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,16.0,400.0,230.0,4278.0,9.5,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,29.0,68.0,49.0,1867.0,19.5,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
116,24.0,116.0,75.0,2158.0,15.5,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
117,20.0,114.0,91.0,2582.0,14.0,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
118,19.0,121.0,112.0,2868.0,15.5,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
119,15.0,318.0,150.0,3399.0,11.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120,24.0,121.0,110.0,2660.0,14.0,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
121,20.0,156.0,122.0,2807.0,13.5,73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
122,11.0,350.0,180.0,3664.0,11.0,73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,20.0,198.0,95.0,3102.0,16.5,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
124,19.0,232.0,100.0,2901.0,16.0,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
125,15.0,250.0,100.0,3336.0,17.0,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
126,31.0,79.0,67.0,1950.0,19.0,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
127,26.0,122.0,80.0,2451.0,16.5,74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
128,32.0,71.0,65.0,1836.0,21.0,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
129,25.0,140.0,75.0,2542.0,17.0,74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
130,16.0,250.0,100.0,3781.0,17.0,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
131,16.0,258.0,110.0,3632.0,18.0,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
132,18.0,225.0,105.0,3613.0,16.5,74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
133,16.0,302.0,140.0,4141.0,14.0,74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,13.0,350.0,150.0,4699.0,14.5,74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,14.0,318.0,150.0,4457.0,13.5,74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,14.0,302.0,140.0,4638.0,16.0,74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,14.0,304.0,150.0,4257.0,15.5,74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,29.0,98.0,83.0,2219.0,16.5,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
139,26.0,79.0,67.0,1963.0,15.5,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
140,26.0,97.0,78.0,2300.0,14.5,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
141,31.0,76.0,52.0,1649.0,16.5,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
142,32.0,83.0,61.0,2003.0,19.0,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
143,28.0,90.0,75.0,2125.0,14.5,74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
144,24.0,90.0,75.0,2108.0,15.5,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
145,26.0,116.0,75.0,2246.0,14.0,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
146,24.0,120.0,97.0,2489.0,15.0,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
147,26.0,108.0,93.0,2391.0,15.5,74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
148,31.0,79.0,67.0,2000.0,16.0,74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
149,19.0,225.0,95.0,3264.0,16.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
150,18.0,250.0,105.0,3459.0,16.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
151,15.0,250.0,72.0,3432.0,21.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
152,15.0,250.0,72.0,3158.0,19.5,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
153,16.0,400.0,170.0,4668.0,11.5,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
154,15.0,350.0,145.0,4440.0,14.0,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
155,16.0,318.0,150.0,4498.0,14.5,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,14.0,351.0,148.0,4657.0,13.5,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,17.0,231.0,110.0,3907.0,21.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
158,16.0,250.0,105.0,3897.0,18.5,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
159,15.0,258.0,110.0,3730.0,19.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
160,18.0,225.0,95.0,3785.0,19.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
161,21.0,231.0,110.0,3039.0,15.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
162,20.0,262.0,110.0,3221.0,13.5,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,13.0,302.0,129.0,3169.0,12.0,75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,29.0,97.0,75.0,2171.0,16.0,75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
165,23.0,140.0,83.0,2639.0,17.0,75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
166,20.0,232.0,100.0,2914.0,16.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
167,23.0,140.0,78.0,2592.0,18.5,75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
168,24.0,134.0,96.0,2702.0,13.5,75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
169,25.0,90.0,71.0,2223.0,16.5,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170,24.0,119.0,97.0,2545.0,17.0,75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
171,18.0,171.0,97.0,2984.0,14.5,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
172,29.0,90.0,70.0,1937.0,14.0,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
173,19.0,232.0,90.0,3211.0,17.0,75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
174,23.0,115.0,95.0,2694.0,15.0,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
175,23.0,120.0,88.0,2957.0,17.0,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
176,22.0,121.0,98.0,2945.0,14.5,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
177,25.0,121.0,115.0,2671.0,13.5,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
178,33.0,91.0,53.0,1795.0,17.5,75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
179,28.0,107.0,86.0,2464.0,15.5,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
180,25.0,116.0,81.0,2220.0,16.9,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
181,25.0,140.0,92.0,2572.0,14.9,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
182,26.0,98.0,79.0,2255.0,17.7,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
183,27.0,101.0,83.0,2202.0,15.3,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
184,17.5,305.0,140.0,4215.0,13.0,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,16.0,318.0,150.0,4190.0,13.0,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,15.5,304.0,120.0,3962.0,13.9,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,14.5,351.0,152.0,4215.0,12.8,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,22.0,225.0,100.0,3233.0,15.4,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
189,22.0,250.0,105.0,3353.0,14.5,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
190,24.0,200.0,81.0,3012.0,17.6,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
191,22.5,232.0,90.0,3085.0,17.6,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
192,29.0,85.0,52.0,2035.0,22.2,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
193,24.5,98.0,60.0,2164.0,22.1,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
194,29.0,90.0,70.0,1937.0,14.2,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
195,33.0,91.0,53.0,1795.0,17.4,76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
196,20.0,225.0,100.0,3651.0,17.7,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
197,18.0,250.0,78.0,3574.0,21.0,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
198,18.5,250.0,110.0,3645.0,16.2,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
199,17.5,258.0,95.0,3193.0,17.8,76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
200,29.5,97.0,71.0,1825.0,12.2,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
201,32.0,85.0,70.0,1990.0,17.0,76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202,28.0,97.0,75.0,2155.0,16.4,76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
203,26.5,140.0,72.0,2565.0,13.6,76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
204,20.0,130.0,102.0,3150.0,15.7,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
205,13.0,318.0,150.0,3940.0,13.2,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
206,19.0,120.0,88.0,3270.0,21.9,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
207,19.0,156.0,108.0,2930.0,15.5,76,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
208,16.5,168.0,120.0,3820.0,16.7,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
209,16.5,350.0,180.0,4380.0,12.1,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
210,13.0,350.0,145.0,4055.0,12.0,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
211,13.0,302.0,130.0,3870.0,15.0,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
212,13.0,318.0,150.0,3755.0,14.0,76,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
213,31.5,98.0,68.0,2045.0,18.5,77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
214,30.0,111.0,80.0,2155.0,14.8,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
215,36.0,79.0,58.0,1825.0,18.6,77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
216,25.5,122.0,96.0,2300.0,15.5,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
217,33.5,85.0,70.0,1945.0,16.8,77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
218,17.5,305.0,145.0,3880.0,12.5,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,17.0,260.0,110.0,4060.0,19.0,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
220,15.5,318.0,145.0,4140.0,13.7,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
221,15.0,302.0,130.0,4295.0,14.9,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
222,17.5,250.0,110.0,3520.0,16.4,77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
223,20.5,231.0,105.0,3425.0,16.9,77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
224,19.0,225.0,100.0,3630.0,17.7,77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
225,18.5,250.0,98.0,3525.0,19.0,77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
226,16.0,400.0,180.0,4220.0,11.1,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
227,15.5,350.0,170.0,4165.0,11.4,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
228,15.5,400.0,190.0,4325.0,12.2,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
229,16.0,351.0,149.0,4335.0,14.5,77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
230,29.0,97.0,78.0,1940.0,14.5,77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
231,24.5,151.0,88.0,2740.0,16.0,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
232,26.0,97.0,75.0,2265.0,18.2,77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
233,25.5,140.0,89.0,2755.0,15.8,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
234,30.5,98.0,63.0,2051.0,17.0,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
235,33.5,98.0,83.0,2075.0,15.9,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
236,30.0,97.0,67.0,1985.0,16.4,77,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
237,30.5,97.0,78.0,2190.0,14.1,77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
238,22.0,146.0,97.0,2815.0,14.5,77,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
239,21.5,121.0,110.0,2600.0,12.8,77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
240,21.5,80.0,110.0,2720.0,13.5,77,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
241,43.1,90.0,48.0,1985.0,21.5,78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
242,36.1,98.0,66.0,1800.0,14.4,78,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
